placeInfo/name,placeInfo/rating,theme,placeInfo/address,placeInfo/latitude,placeInfo/longitude,placeInfo/webUrl,rating,text,placeInfo/numberOfReviews,lang
Conference Center,4.5, Conference center,Riyadh Saudi Arabia · In the Princess Nora bint Abdul Rahman University,24.72125541,46.67108133,,2,"Feels like you are sitting on stadium, not theater.",735,en
Riyadh Season,4.5, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Ful on entertainment place in riyadh,1400,en
اسكيب مشن | Escape Mission,4.6, Escape room center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,"Fun place, intelligent games and reasonable price range for activities.",436,en
اسكيب مشن | Escape Mission,4.6, Escape room center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,"Fun place, intelligent games and reasonable price range for activities.",436,en
King Abdullah Park,4.2, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Good entertainment place,3300,en
Long Flag,4.4, Tourist attraction,Diriyah Saudi Arabia · In King Salman Square in Diriyah,24.74969951,46.53795134,,5,Good place and very quiet.,792,en
Long Flag,4.4, Tourist attraction,Diriyah Saudi Arabia · In King Salman Square in Diriyah,24.74969951,46.53795134,,5,Good place and very quiet.,792,en
Modon Lake Park,4.3, Tourist attraction,Dammam Saudi Arabia,26.41187358,50.0904657,,5,Good place for entertainment,4900,en
Sparky's,3.8, Children's amusement center,الظهرانDhahran Saudi Arabia · In the Mall of Dhahran,26.30557463,50.17301591,,5,Good place for kids entertainment,740,en
Sparky's,3.8, Children's amusement center,الظهرانDhahran Saudi Arabia · In the Mall of Dhahran,26.30557463,50.17301591,,5,Good place for kids entertainment,740,en
Red Sand Dunes,4.5, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Good place there ...,17,en
Valley of Life,4, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Good place there ...,17,en
Sparky's | سباركيز,3.6, Amusement center,Alkharaj Saudi Arabia,24.15171457,47.32415312,,5,Grear Fun place for kids. Very well maintained.,349,en
Sparky's | سباركيز,3.6, Amusement center,Alkharaj Saudi Arabia,24.15171457,47.32415312,,5,Grear Fun place for kids. Very well maintained.,349,en
Jabal Baloum,4.3, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Great location for camping and to have fun around.,6,en
Jabal Baloum,4.3, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Great location for camping and to have fun around.,6,en
Sky Zone,4, Amusement center,Riyadh Saudi Arabia · In Al Hokair Time,24.72125541,46.67108133,,5,Great place for entertainment.,3800,en
Chuck E. Cheese,4.1, ₹ ,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Great place for kids entertainment,1600,en
مركز كفّك للترفيه - هاي فايف Hi 5,4.3, Amusement center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Great place for kids for entertainment,106,en
مركز كفّك للترفيه - هاي فايف Hi 5,4.3, Amusement center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Great place for kids for entertainment,106,en
Ushaiqer Heritage Village,4.5, Tourist attraction,Ushaiqer Saudi Arabia,25.34541484,45.1828179,,5,Great place to visit that shows you the old cities in Saudi Arabia,3000,en
Salam Park,4.3, Park,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Has many areas for entertainment including boat riding.,3900,en
Lake Park,4.5, Tourist attraction,Al Mithnab Saudi Arabia,25.85921483,44.20587094,,5,I am gonna tell my friends about the place,2100,en
Escape Room,4.5, Escape room center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,I highly recommend this place for spending fun time with your family ...,721,en
Escape Room,4.5, Escape room center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,I highly recommend this place for spending fun time with your family ...,721,en
SUNRISE RESORT,4.9, Resort hotel,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,I mostly enjoyed the cinema theater,98,en
,4.9, Resort hotel,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,I mostly enjoyed the cinema theater,98,en
Magic Planet Riyadh Front - ماجيك بلانيت واجهة الرياض,4.2, Amusement center,Riyadh Saudi Arabia · In Riyadh Front - Shopping Area,24.72125541,46.67108133,,5,I personally highly recommend him for a very sensitive areas in your ...,44,en
Magic Planet Riyadh Front - ماجيك بلانيت واجهة الرياض,4.2, Amusement center,Riyadh Saudi Arabia · In Riyadh Front - Shopping Area,24.72125541,46.67108133,,5,I personally highly recommend him for a very sensitive areas in your ...,44,en
Fanta Park,4.1, Amusement center,Riyadh Saudi Arabia · In Royal Mall Riyadh,24.72125541,46.67108133,,5,It a nice place for entertainment for your children but your children ...,49,en
Fanta Park,4.1, Amusement center,Riyadh Saudi Arabia · In Royal Mall Riyadh,24.72125541,46.67108133,,5,It a nice place for entertainment for your children but your children ...,49,en
Manakh King Abdulaziz Park,3.8, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,It is very nice place. Especially for BarBQ.,2400,en
Mazebox Escape Room,4.5, Escape room center,Jeddah Saudi Arabia,21.4973944,39.16131511,,5,It's a really nice place. We had fun good price.,1200,en
Dhahran Movie Theatre,3.5, Movie theater,Dhahran Saudi Arabia,26.23408143,50.02504659,,5,Its a small cinema and staff is not a happy bunch,210,en
فزز هوا Fizz Hawa,4.6, Amusement center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,It's vast and really good for the price compared to other places,2100,en
VOX Cinemas Jubail Galleria Mall,3.4, Movie theater,Al Jubail Saudi Arabia · In Galleria Mall,27.13697608,49.5681482,,5,Just an average ordinary cinema!!!,87,en
Al Fazari Courtyard,4, Garden,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,"Just gets better with time a few really nice places to eat, with great ...",34,en
Al-Samar Amusement Center,3.9, Amusement center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,"Like the place, very entertaining just choose your favourite activity",855,en
Tomb of Lihyan son of Kuza,4.6, Historical landmark,Hegra Saudi Arabia,26.80808958,37.9632509,,5,Living place of Samood's.,552,en
محمية الوعول,4.6, Historical landmark,Hegra Saudi Arabia,26.80808958,37.9632509,,5,Living place of Samood's.,552,en
Empire Cinemas Khobar,3.9, Movie theater,Al Khobar Saudi Arabia · In Al Rashid Mall,26.29070603,50.18039363,,5,"Lovely place and staff, prices are reasonable, screens chairs are wonderful 👌🏻",1300,en
DAZ داز,4.5, Amusement center,Jeddah Saudi Arabia,21.4973944,39.16131511,,5,My daughter’s favorite place !,278,en
DAZ داز,4.5, Amusement center,Jeddah Saudi Arabia,21.4973944,39.16131511,,5,My daughter’s favorite place !,278,en
Sky Zone,3.9, Amusement center,Riyadh Saudi Arabia · In Almakan Mall,24.72125541,46.67108133,,5,My favourite place ..,1000,en
Snow City,3.9, Amusement center,Riyadh Saudi Arabia · In العثيم مول | Othaim Mall,24.72125541,46.67108133,,5,Nb 1 entertainment place,7000,en
Muvi Cinemas | موڤي سينما,4.3, Movie theater,Khamis Mushait Saudi Arabia · In Mujan Park,18.2853439,42.74002585,,5,New clean and organized theater.,577,en
Muvi Cinemas | موڤي سينما,4.3, Movie theater,Khamis Mushait Saudi Arabia · In Mujan Park,18.2853439,42.74002585,,5,New clean and organized theater.,577,en
Mount Uraidh Hidden Spring,3, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Nice and quite place.,4,en
عين العباس,3.7, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Nice and quite place.,3,en
TAKENDA,4.2, Amusement park,Riyadh Saudi Arabia · In Boulevard Riyadh City,24.72125541,46.67108133,,5,Nice family entertainment places,37,en
TAKENDA,4.2, Amusement park,Riyadh Saudi Arabia · In Boulevard Riyadh City,24.72125541,46.67108133,,5,Nice family entertainment places,37,en
Riyadh Water Tower,4.3, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Nice Location for kids,2100,en
Muvi Cinemas | موڤي سينما,3.7, Movie theater,Riyadh Saudi Arabia · In Al Nakheel Mall,24.72125541,46.67108133,,5,Nice place (dolby experience).,694,en
Muvi Cinemas | موڤي سينما,3.7, Movie theater,Riyadh Saudi Arabia · In Al Nakheel Mall,24.72125541,46.67108133,,5,Nice place (dolby experience).,694,en
Saudi Television Tower,4.4, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,nice place and nice people inside tv station.,224,en
Saudi Television Tower,4.4, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,nice place and nice people inside tv station.,224,en
Al-Bujairi Heritage Park,4.4, National park,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Nice place for family entertainment.... enough parking space ...,12000,en
Sparky's | سباركيز,4, Amusement center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,"Nice place for kids entertainment, fully isolated",168,en
Sparky's | سباركيز,4, Amusement center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,"Nice place for kids entertainment, fully isolated",168,en
Mosary Arena,3.4, Amusement center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Nice place my kids was very happy that day Will visit again very ...,230,en
Al Hokair Time,4, Theme park,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,"Nice place, variety of kids entertainment",2900,en
سينما العرب,4.2, Movie theater,Jeddah Saudi Arabia · In the Mall of Arabia,21.4973944,39.16131511,,5,Nice small theater to watch movies,941,en
King Abdulaziz Center for World Culture - Ithra,4.6, Movie theater,Unayzah Saudi Arabia · In The Boulevard Unayzah,26.09089033,43.98417278,,5,Nice theatre 🎭🎭 well maintained..,1200,en
Muvi Cinemas | موڤي سينما,4.6, Movie theater,Unayzah Saudi Arabia · In The Boulevard Unayzah,26.09089033,43.98417278,,5,Nice theatre 🎭🎭 well maintained..,1200,en
Lambee Tily,4.2, Amusement center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,NYC place... Kidz njying.... Tq waad for helping kidz...,1200,en
Family Park,4.1, Park,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,OMG i was walking around and I saw the skinny legend queen jiafei ...,98,en
Family Park,4.1, Park,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,OMG i was walking around and I saw the skinny legend queen jiafei ...,98,en
Sparky's,4, Amusement park,Riyadh Saudi Arabia · In Riyadh Gallery Mall,24.72125541,46.67108133,,5,One of the favorite places for kids,961,en
Sparky's,4, Amusement park,Riyadh Saudi Arabia · In Riyadh Gallery Mall,24.72125541,46.67108133,,5,One of the favorite places for kids,961,en
Sky Zone | سكاي زون,3.8, Amusement center,Riyadh Saudi Arabia · In Al Maathar Plaza 2,24.72125541,46.67108133,,5,Prefect place to go to chill have fun and get some exercise on.,276,en
Sky Zone | سكاي زون,3.8, Amusement center,Riyadh Saudi Arabia · In Al Maathar Plaza 2,24.72125541,46.67108133,,5,Prefect place to go to chill have fun and get some exercise on.,276,en
Al Douh Park,3.6, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Really good place to relax😀,4700,en
Sa'ad Red Sand - Dunes,4.8, Tourist attraction,Sa'ad Saudi Arabia,25.10712105,47.55659438,,1,Rubbish are everywhere near the rental place.,6,en
Sa'ad Red Sand - Dunes,4.8, Tourist attraction,Sa'ad Saudi Arabia,25.10712105,47.55659438,,1,Rubbish are everywhere near the rental place.,6,en
VOX Cinemas,4.2, Movie theater,Riyadh Saudi Arabia · In the Sahara Mall,24.72125541,46.67108133,,4,Small theater with good service.,1900,en
VOX Cinemas - Red Sea Mall,4.3, Movie theater,Jeddah Saudi Arabia · In the Red Sea Mall,21.4973944,39.16131511,,4,"Small theatre, but looks good",12000,en
vox cinemas,4.2, Movie theater,Riyadh Saudi Arabia · In Qasr Mall by Dar Al Arkan,24.72125541,46.67108133,,5,Sound system and atmosphere very good.,3500,en
AMC Cinemas KAFD,3.9, Movie theater,Riyadh Saudi Arabia · In Chalmont,24.72125541,46.67108133,,5,Spacious and nice theater,5300,en
