placeInfo/address,theme,city,imageUrl,placeInfo/latitude,placeInfo/longitude,placeInfo/id,placeInfo/numberOfReviews,rating,lang,text,placeInfo/name,placeInfo/rating,placeInfo/webUrl
"6526 عبدالرحمن الداخل, An Nahdah, Jeddah 23615, Saudi Arabia",Eyelash salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipMCx8oHF5nnTIidafsvNIADyKB7kD-J1VaX1yIu=w408-h544-k-no,21.6200327,39.136092,ChIJD4kQSgbbwxURnAkufrnZx1Y,130,5,,,Lash corner | ركن الرموش,4.1,https://www.google.com/maps/search/?api=1&query=Lash%20corner%20%7C%20%D8%B1%D9%83%D9%86%20%D8%A7%D9%84%D8%B1%D9%85%D9%88%D8%B4&query_place_id=ChIJD4kQSgbbwxURnAkufrnZx1Y
"شارع موسى بن نصير، حي العليا،, Riyadh 12241, Saudi Arabia",Beauty salon,Riyadh,https://lh5.googleusercontent.com/p/AF1QipPkVpdYGHBMXlAVvl1z6N4FT7Ib6KCOdogUmDV7=w408-h544-k-no,24.7040737,46.6824998,ChIJDb0b3iUDLz4Rd4IF66xM7bc,1104,5,,,Simple Hair Salon,4.1,https://www.google.com/maps/search/?api=1&query=Simple%20Hair%20Salon&query_place_id=ChIJDb0b3iUDLz4Rd4IF66xM7bc
"العليا، موسى بن نصير، مواقف العاقرية الاولى, Riyadh Saudi Arabia",Beauty salon,Riyadh,https://lh5.googleusercontent.com/p/AF1QipM-qa_F1n0k1uB_L2Kwwd5iNQGdIxl6T_rrLxcU=w426-h240-k-no,24.7059148,46.6839315,ChIJASY7wCYDLz4RA2S8Yh_hYHY,429,5,,,Dentelle Beauty Salon for Women / مركز دانتيل التجميل النسائي,4.1,https://www.google.com/maps/search/?api=1&query=Dentelle%20Beauty%20Salon%20for%20Women%20%2F%20%D9%85%D8%B1%D9%83%D8%B2%20%D8%AF%D8%A7%D9%86%D8%AA%D9%8A%D9%84%20%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D9%8A%D9%84%20%D8%A7%D9%84%D9%86%D8%B3%D8%A7%D8%A6%D9%8A&query_place_id=ChIJASY7wCYDLz4RA2S8Yh_hYHY
"Prince Fawaz St, Al Khobar Al Shamalia, Al Khobar 34426, Saudi Arabia",Beauty salon,Al Khobar,https://lh5.googleusercontent.com/p/AF1QipMpnAaE45ImbsCyXA9eHk8QSjOUmem35A5czKm_=w408-h725-k-no,26.2991001,50.2102127,ChIJe3xALQjpST4RFBliiMaTqlk,199,5,,,The Beauty and Nail Station | محطة الجمال والأظافر,4.2,https://www.google.com/maps/search/?api=1&query=The%20Beauty%20and%20Nail%20Station%20%7C%20%D9%85%D8%AD%D8%B7%D8%A9%20%D8%A7%D9%84%D8%AC%D9%85%D8%A7%D9%84%20%D9%88%D8%A7%D9%84%D8%A3%D8%B8%D8%A7%D9%81%D8%B1&query_place_id=ChIJe3xALQjpST4RFBliiMaTqlk
"Makkah Al Mukarramah St, Aloliyah District, Al Khobar 34445, Saudi Arabia",Beauty salon,Al Khobar,https://lh5.googleusercontent.com/p/AF1QipOHeCq65ep0aWv1upabWsPwkibjc9AV8QeoXoF3=w408-h544-k-no,26.300666,50.1834225,ChIJHWBTe3jpST4RH0j_iowgDpg,106,5,,,Quick Touch Beauty Salon,4.1,https://www.google.com/maps/search/?api=1&query=Quick%20Touch%20Beauty%20Salon&query_place_id=ChIJHWBTe3jpST4RH0j_iowgDpg
"Mahmud Arif, Ar Rawdah, Jeddah 23433, Saudi Arabia",Beauty salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipOuGEsB8C4oUz5NHWe_Tt31fQ_8rvGGlPKfyHwk=w478-h240-k-no,21.5627082,39.1604474,ChIJgelzYgzQwxURK0xX5wTYYl0,224,5,,,Lalunah Beauty Center,4.2,https://www.google.com/maps/search/?api=1&query=Lalunah%20Beauty%20Center&query_place_id=ChIJgelzYgzQwxURK0xX5wTYYl0
"Al Urubah Branch Rd, Al Olaya, Riyadh 12333, Saudi Arabia",Beauty salon,Riyadh,https://lh5.googleusercontent.com/p/AF1QipPPHQVBNct-AE9af4UG2JgsZNraLMT-NlMhh_0M=w408-h725-k-no,24.7101599,46.6684758,ChIJ-wJi8SwdLz4RxiGkTKEXPl8,604,5,,,Dalia Hair Saloon,4.2,https://www.google.com/maps/search/?api=1&query=Dalia%20Hair%20Saloon&query_place_id=ChIJ-wJi8SwdLz4RxiGkTKEXPl8
"Yahya Husayn, Al Bawadi, Jeddah 23443, Saudi Arabia",Beauty salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipPoToCu28UfuKFRXlFJYTSRFeb-yiZnmzkqoU0T=w426-h240-k-no,21.5898401,39.1656318,ChIJ0wgBao_QwxUR_QeCADdg8Tg,1138,5,,,Siham beauty Salon,4.2,https://www.google.com/maps/search/?api=1&query=Siham%20beauty%20Salon&query_place_id=ChIJ0wgBao_QwxUR_QeCADdg8Tg
"Cenomi Haifaa Mall, Palestine, Al-Ruwais, Shop GF031A, Jeddah 23215, Saudi Arabia",Nail salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipMDRXJHL09K-YhJ5pz2yBKdu8e0lGR3KicvjES0=w408-h306-k-no,21.5281197,39.1780673,ChIJV2QdoxjPwxURcVxk4n96OB8,173,5,,,ZIMA,4.2,https://www.google.com/maps/search/?api=1&query=ZIMA&query_place_id=ChIJV2QdoxjPwxURcVxk4n96OB8
"Ash Shati, Jeddah 23425, Saudi Arabia",Beauty salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipMGKEKUYQmAbSgcoLhW8pqB48IK1yNb4kTKzPtE=w426-h240-k-no,21.5915216,39.1319562,ChIJE1MO0ITawxURVC2dOQPPJdw,199,5,,,Sabia salon | صالون سابيه,4.2,https://www.google.com/maps/search/?api=1&query=Sabia%20salon%20%7C%20%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%B3%D8%A7%D8%A8%D9%8A%D9%87&query_place_id=ChIJE1MO0ITawxURVC2dOQPPJdw
"Jeddah St, Al-Thuqbah, Al Khobar 34623, Saudi Arabia",Hair salon,Al Khobar,https://lh5.googleusercontent.com/p/AF1QipOXrqMvxvNBRc2VA8GeufDREyrt_T74KbWTCYvH=w520-h240-k-no,26.2839779,50.1887867,ChIJP5nHdmHpST4RWf9br9tuCAc,31,4,,,Diamond Hand Saloon,4.3,https://www.google.com/maps/search/?api=1&query=Diamond%20Hand%20Saloon&query_place_id=ChIJP5nHdmHpST4RWf9br9tuCAc
"Ahmad Al Attas, Al Zahra, Jeddah 23425, Saudi Arabia",Beauty salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipMbS2I5FONSeUySGokWwVCZmet58B9tX6QCu1fC=w506-h240-k-no,21.5887387,39.1308879,ChIJNSIoTDXbwxURq5AjcBz_qqA,225,5,,,Beauty Station,4.3,https://www.google.com/maps/search/?api=1&query=Beauty%20Station&query_place_id=ChIJNSIoTDXbwxURq5AjcBz_qqA
"MPG5+w9R, Al Wizarat, Riyadh 12626, Saudi Arabia",Beauty salon,Riyadh,https://lh5.googleusercontent.com/p/AF1QipP-G3CiRGoTGI_dQDHZkGqOC3geFEeWcBf5V9I=w408-h577-k-no,24.677377,46.7084903,ChIJexHxp1cFLz4RBbE59kVpdBs,63,5,,,Rozana Salons & Spa - Ladies,4.3,https://www.google.com/maps/search/?api=1&query=Rozana%20Salons%20%26%20Spa%20-%20Ladies&query_place_id=ChIJexHxp1cFLz4RBbE59kVpdBs
"7065-7079 Prince Abdulrahman Bin Abdulaziz St, Al Wizarat, Riyadh 12624, Saudi Arabia",Beauty salon,Riyadh,https://lh5.googleusercontent.com/p/AF1QipNVz7eavL06yBAAnzq5JtcWclQwkM6wpfhAfzLW=w426-h240-k-no,24.674418,46.7085203,ChIJYUecRIcELz4RTdjBlvlaSoE,62,3,,,Reem Beauty Parlour,4.3,https://www.google.com/maps/search/?api=1&query=Reem%20Beauty%20Parlour&query_place_id=ChIJYUecRIcELz4RTdjBlvlaSoE
"Prince Badr Street, Al Khobar Al Shamalia, Al Khobar 34426, Saudi Arabia",Beauty salon,Al Khobar,https://lh5.googleusercontent.com/p/AF1QipNG1glnMGS-Pl0eGyw44G6-nR8kAI0iJ_WvZGux=w408-h544-k-no,26.2981538,50.2124723,ChIJgw5s0UXoST4RB-ODIhK4y-Y,385,5,,,صالون ديم,4.3,https://www.google.com/maps/search/?api=1&query=%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AF%D9%8A%D9%85&query_place_id=ChIJgw5s0UXoST4RB-ODIhK4y-Y
طريق الأمير محمد بن سعد بن عبدالعزيز، حي، Saudi Arabia,Beauty salon,Riyadh,https://lh5.googleusercontent.com/p/AF1QipPouMBpUuwe1Izj_lVX_XDHki7x-3YKcaHze6yS=w426-h240-k-no,24.7868823,46.6128986,ChIJoaD4ke7jLj4R_OORZfG2O3M,281,5,,,The beauty book Hair&Nail Retreat,4.3,https://www.google.com/maps/search/?api=1&query=The%20beauty%20book%20Hair%26Nail%20Retreat&query_place_id=ChIJoaD4ke7jLj4R_OORZfG2O3M
"Atallah Commercial Center، Ibn Tayhan, Ash Shati، Al Kurnaysh Rd, Jeddah Saudi Arabia",Beauty salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipNG_3eZT7s-uBNPuAywABMan25wz6Ialk43evbp=w408-h544-k-no,21.6153031,39.1081651,ChIJw5IwTnTbwxURsLX8kUib-Kg,1947,4,,,ORIANA,4.3,https://www.google.com/maps/search/?api=1&query=ORIANA&query_place_id=ChIJw5IwTnTbwxURsLX8kUib-Kg
