placeInfo/address,theme,city,imageUrl,placeInfo/latitude,placeInfo/longitude,placeInfo/id,placeInfo/numberOfReviews,rating,lang,text,placeInfo/name,placeInfo/rating,placeInfo/webUrl
"9HP6+7X2, Al'awayshah, Tabuk 47914, Saudi Arabia",Pakistani restaurant,Tabuk,https://lh5.googleusercontent.com/p/AF1QipNR4Zs6F_xAwMIOxENT8nL049TDjBk3s4iifpVY=w408-h550-k-no,28.3856875,36.5624375,ChIJW7D99rmtqRURLLClcX86A-k,520,5,,,Lahore Restaurant مطعم رکن الاحتفال,4.2,https://www.google.com/maps/search/?api=1&query=Lahore%20Restaurant%20%D9%85%D8%B7%D8%B9%D9%85%20%D8%B1%DA%A9%D9%86%20%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%81%D8%A7%D9%84&query_place_id=ChIJW7D99rmtqRURLLClcX86A-k
"9HQ9+2X8 20, Alaziziyah Aljadidah, Tabuk 47911, Saudi Arabia",Pakistani restaurant,Tabuk,https://lh5.googleusercontent.com/p/AF1QipPPAN39Q7XbJFJWGoEVqrL38mSbCXvCSmoxpeS3=w426-h240-k-no,28.3874955,36.5699663,ChIJhTY18uCtqRURrHduzrJvTWU,155,5,,,"Lahore Hotel, Pakistani لاہور ہوٹل",4.3,https://www.google.com/maps/search/?api=1&query=Lahore%20Hotel%2C%20Pakistani%20%D9%84%D8%A7%DB%81%D9%88%D8%B1%20%DB%81%D9%88%D9%B9%D9%84&query_place_id=ChIJhTY18uCtqRURrHduzrJvTWU
"9HP7+C3J، 8847، العوايشة،, Tabuk 47914, Saudi Arabia",Pakistani restaurant,Tabuk,https://lh5.googleusercontent.com/p/AF1QipOJY2dAAwOWuP5tjOqc5hPlEuSRt58hYO_b1LWI=w408-h544-k-no,28.3860828,36.5626436,ChIJB4NAF6utqRURxFEY1NxwvrE,141,5,,,مطعم مهران,3.6,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D9%85%D9%87%D8%B1%D8%A7%D9%86&query_place_id=ChIJB4NAF6utqRURxFEY1NxwvrE
"Al Muallifeen St, Aziziyah, Jeddah 23342, Saudi Arabia",Pakistani restaurant,Jeddah,https://lh5.googleusercontent.com/p/AF1QipNb9DAAyOLj8mKumzeHJQXxLbRH0ci8k0Qlt802=w463-h240-k-no,21.5536192,39.2057459,ChIJy9NpHZLRwxUR1j-p5CElZPg,108,3,,,SAMAR RESTAURANT - مطعم ثمر,3.6,https://www.google.com/maps/search/?api=1&query=SAMAR%20RESTAURANT%20-%20%D9%85%D8%B7%D8%B9%D9%85%20%D8%AB%D9%85%D8%B1&query_place_id=ChIJy9NpHZLRwxUR1j-p5CElZPg
"Ali Abou Al Ola, Ash Shati, Jeddah 23414, Saudi Arabia",Pan-Asian restaurant,Jeddah,https://lh5.googleusercontent.com/p/AF1QipPVb2AXyzSYKNpu9Wm43pZBxFvgLWZ8letj45oX=w426-h240-k-no,21.5692159,39.1251723,ChIJE1lenvrbwxURJ5MSi0ALdEI,1214,5,,,Novikov,4.3,https://www.google.com/maps/search/?api=1&query=Novikov&query_place_id=ChIJE1lenvrbwxURJ5MSi0ALdEI
"King Abdulaziz Rd, Town Center, Al Bahah 65522, Saudi Arabia",Pizza restaurant,Al Bahah,https://lh5.googleusercontent.com/p/AF1QipNgLyHnxTR5ys_J_khoXGpd622esRgiGmFEZ3-J=w408-h326-k-no,20.01252,41.4583304,ChIJPwLwTpRF7xUR5jRtWlVhiF4,1256,5,,,Pizza Rayyan,3.6,https://www.google.com/maps/search/?api=1&query=Pizza%20Rayyan&query_place_id=ChIJPwLwTpRF7xUR5jRtWlVhiF4
"Abha Al Jadidah, Near, Abha 62512, Saudi Arabia",Restaurant,Abha,https://lh5.googleusercontent.com/p/AF1QipNntKAPRq0zjxI_4IxGQL8KCQTSVmhsaoBBso_S=w408-h544-k-no,18.2210484,42.4699219,ChIJvdMV-OdX4xUR-U4lb2S-hss,1305,4,,,أبها قالا,3.6,https://www.google.com/maps/search/?api=1&query=%D8%A3%D8%A8%D9%87%D8%A7%20%D9%82%D8%A7%D9%84%D8%A7&query_place_id=ChIJvdMV-OdX4xUR-U4lb2S-hss
"Abu Huraira Rd, المنسك, Abha 62527, Saudi Arabia",Restaurant,Abha,https://lh5.googleusercontent.com/p/AF1QipOR9d5xWiFJcFqZpokTmYN2xl56NekB7_4C679W=w408-h873-k-no,18.2244758,42.5599559,ChIJY7mFSJmr_BURuaIEQYiKS14,289,5,,,أبوزيد,3.5,https://www.google.com/maps/search/?api=1&query=%D8%A3%D8%A8%D9%88%D8%B2%D9%8A%D8%AF&query_place_id=ChIJY7mFSJmr_BURuaIEQYiKS14
"2F34+4GH مشتل باحة الورد, Town Center, Al Bahah 65522, Saudi Arabia",Restaurant,Al Bahah,https://lh5.googleusercontent.com/p/AF1QipN5qoAWj5z6BJ8-G6GhNxupzm7lrYxZqQ6iOoq7=w408-h725-k-no,20.0028746,41.4567228,ChIJiU7uGz9F7xURVzysHL_mLDY,1262,3,,,ابو زيد,3.8,https://www.google.com/maps/search/?api=1&query=%D8%A7%D8%A8%D9%88%20%D8%B2%D9%8A%D8%AF&query_place_id=ChIJiU7uGz9F7xURVzysHL_mLDY
"8310 Al Imam Muhammad Ibn Abdul Wahhab, Al Awayshah, 3218, Tabuk 47914, Saudi Arabia",Restaurant,Tabuk,https://lh5.googleusercontent.com/p/AF1QipPaB8oZgV62lPllv05FQvB0bx3IDfL9y36rTSyH=w493-h240-k-no,28.3810305,36.5568325,ChIJR6bW0FGtqRURJYBxLwCuplk,21,5,,,مطبخ الافرح Al Afrah Restaurant,3.9,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%A8%D8%AE%20%D8%A7%D9%84%D8%A7%D9%81%D8%B1%D8%AD%20Al%20Afrah%20Restaurant&query_place_id=ChIJR6bW0FGtqRURJYBxLwCuplk
